"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L7"
"Ptgs1",2.56424381105842,2.2406944913883e-11,2.07788658313105e-09,4.38187003099366,0.65020204320462
"Pdlim1",-2.09590568202353,2.34376266450936e-11,2.16196604725165e-09,35.3647673157444,153.195150912677
"Parp16",1.42716585932129,2.44836474334191e-11,2.24656794396962e-09,6.26279489409699,2.10891521044162
"Susd3",1.76797637341497,2.56570169612847e-11,2.34190802985883e-09,92.5944852693957,27.4187183928743
"Zbtb38",1.88419142926352,2.81851654299813e-11,2.55927174013695e-09,35.3375433962808,8.85387375349399
"Actbl2",-3.1246391018628,3.00544183556807e-11,2.71486388400486e-09,0.13208827914331,1.21697145167394
"Ociad2",1.43169137699194,3.02271730917865e-11,2.7163945138258e-09,24.1078780092985,7.95900832491421
"Slc16a11",3.27570145289843,3.16596002494047e-11,2.83053061922113e-09,16.1161509848874,1.99684072960286
"Ugt1a10",2.10818146617225,3.54306085171243e-11,3.15151647391604e-09,3.20472717088075,0.586557974996572
"Tnf",-1.71318197449957,3.94707401934305e-11,3.49306032757496e-09,2.40108486402118,7.84544830517383
"Gzmc",2.39027065193277,4.43807355987498e-11,3.90774618398285e-09,6.24814587801056,1.07690950478167
"Gimap7",1.10644070792438,4.50519697072567e-11,3.9469147732478e-09,689.694470023062,296.74510186617
"Satb1",-1.78967302179999,4.994245635422e-11,4.35348392039736e-09,2.06776135110536,7.18043450538995
"Myo3b",1.73887800419388,5.40406591042428e-11,4.68728781504164e-09,3.15512404948982,0.830162145438894
"Lat2",2.06725258460276,5.62921672574694e-11,4.85840417805308e-09,79.8041285681006,20.6755807307827
"Sp4",1.64557521511124,6.20415552232933e-11,5.32823878700934e-09,7.72554252624599,2.33022249376274
"Lgals3bp",1.23542497290962,6.80052906923516e-11,5.81178548005127e-09,208.616767627781,79.9688218743703
"Gng2",1.13027666151096,7.0934650083195e-11,6.03255946122157e-09,103.497387201988,53.330614464329
"Fam81a",-2.1602346479325,7.41342884799893e-11,6.27406400660259e-09,3.42143084591097,11.8470000102828
"Adrb1",3.04344855477168,8.49357529504033e-11,7.15347785960063e-09,3.46996990708324,0.968025267953837
"Kcnk10",-2.47958334376773,1.01902300308814e-10,8.54117645953782e-09,0.202200784461494,1.52525803879088
"Tnfsf13b",2.2193615550738,1.05660198637631e-10,8.81377944042326e-09,5.28454351143716,1.1820563011768
"Pkn3",-1.87759794325711,1.13479627880938e-10,9.42097063083941e-09,2.59579538642847,9.93159197030497
"Id2",1.81327144387403,1.2173677212538e-10,1.00111268171409e-08,534.229237944489,141.601008366699
"Tspan2",-2.27162908868547,1.21324533456885e-10,1.00111268171409e-08,1.13469297317303,5.38402590702571
