"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Lyz2",3.19028949002279,4.65252398889525e-27,4.83271698148103e-25,76.1474947796507,683.616671129307
"Car2",-2.73278732202412,5.83582405096918e-27,6.02994198782247e-25,47.663657215205,6.92650139708661
"Itga9",3.3023445259485,5.96415228472849e-27,6.13027422271151e-25,0.337094438546153,1.40958802963952
"Slc25a13",2.20413285262319,6.48041506996128e-27,6.6262244090354e-25,1.75675524993972,7.50431511764666
"Epas1",-3.66600060259252,8.2392940515816e-27,8.3810269855259e-25,1.02789576621505,0.0750422931416127
"Mnd1",3.65504833262484,1.12106572030029e-26,1.13447227942966e-24,0.992443975647821,13.231495706453
"Pla2g2d",-4.85315826436153,1.16852674460013e-26,1.17643677179435e-24,3.29739152002854,0.0722367364352324
"Myo1f",-2.66693505152444,1.22331359765574e-26,1.22531084434579e-24,130.78525564449,19.7397131747605
"H2-Q10",-2.60112259099047,1.50329917552509e-26,1.49811012253343e-24,39.1331396036994,2.92614407176738
"Acsbg1",-2.02102476144413,1.62728775584705e-26,1.61348046579744e-24,19.1949142363735,4.45416943253999
"Jchain",-4.96082864773421,2.22994891066927e-26,2.19991743790246e-24,35.866453542854,0.930573109103247
"Zfp862-ps",4.65783105847265,3.29313891207908e-26,3.23254515609683e-24,0.116503242959918,1.26829003687911
"Ptpn11",2.04487616644897,4.6239397089393e-26,4.51627782914908e-24,2.15139620033543,8.90964370461706
"Hemgn",-3.59303144023442,5.78051484088733e-26,5.6179736315e-24,3.55371628670254,0.278118210365885
"Rhag",-6.20960960514636,6.58826814512766e-26,6.37147193227322e-24,2.46793459433435,0.0285490467213363
"Dctd",2.72538663463338,1.01185615397661e-25,9.73762745826905e-24,1.60717372339406,8.83207595909809
"Srm",2.60357178050495,1.40274601523123e-25,1.34335169614729e-23,1.8468567988972,11.8073660415598
"Myc",1.67714280078416,1.57801903945696e-25,1.50386746517568e-23,26.5474725497069,78.5370200456869
"Rap1gap2",-2.46214515725762,1.60195095904866e-25,1.51929957623397e-23,3.66836004265466,0.6014155186205
"Smyd5",2.42257430762815,2.08671689060935e-25,1.96953971136744e-23,4.25179361331887,23.282634663773
"Gm21188",2.50264224214258,2.17333577367231e-25,2.04147980424568e-23,2.73567463407619,14.8763892357845
"Galnt10",-3.10225226259724,2.2466945428599e-25,2.09296564566131e-23,3.3478750295827,0.379776669838066
"Slc40a1",-3.38775576533142,2.24946898550599e-25,2.09296564566131e-23,18.3791878766303,1.5572540515832
"Actn1",-1.79430777790939,2.47657843976187e-25,2.29340509100967e-23,37.6826605241016,10.4559313283377
"Zyx",-1.82456683054013,2.7891290993345e-25,2.5707127924007e-23,166.339089149425,45.4081478741379
"Adgrg5",-3.62174166467293,3.99072066728291e-25,3.66102000654664e-23,20.2081161947614,1.55206146952403
"Fn1",2.75129192865003,4.06305409725096e-25,3.71004083894097e-23,0.687004575176478,2.95738999848661
"Tnfrsf9",4.46234129262,5.90750809159722e-25,5.36926846547392e-23,7.21661832875181,178.775036147303
"Akr1c13",-1.99869663975022,6.14455697838506e-25,5.55898352993804e-23,26.0736539587535,6.45382553777438
"Fkbp10",-5.64342595443034,6.26256192819813e-25,5.63975301717366e-23,3.59609972813739,0.0508762149784146
"Vipr1",-3.41761939621089,7.44653499883887e-25,6.67535959347967e-23,1.70715735844095,0.0998439616766808
"Blnk",-2.81951867933013,1.1010932952771e-24,9.78129573433483e-23,3.89654727722043,0.426239008698469
"Perp",3.15724201390271,1.09742994470331e-24,9.78129573433483e-23,1.09323568311335,10.1623774806855
"1810009J06Rik",13.5400983751535,1.61468865369981e-24,1.42790845267724e-22,0,24.514486282402
"Pstpip2",2.99643226754215,1.63860465619811e-24,1.44255993768975e-22,0.272300258523914,2.15782604267389
"Lcn4",-2.57132143590658,1.92252781883303e-24,1.68495830979152e-22,28.5382642548325,4.4081266910186
